source_row,title,classification,priority,reason,review_status,python_rule_candidate,notes
34,Behavior Support Assistant - Wantage,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
35,Behaviour Support Assistant,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
36,Behaviour Support Assistant - Oxford,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
37,Behaviour Support Assistant (Challenging Behaviour),ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
38,Behaviour Support Assistant (SEMH Focus),HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
39,Behaviour Support Worker,REVIEW_CONTEXT_DEPENDENT,50,demoted from HC in V10 cleanup: specialist/context-dependent title marker: behaviour,REVIEW,NO - review first,
40,Behaviour Support Worker - Newbury,REVIEW_CONTEXT_DEPENDENT,50,demoted from HC in V10 cleanup: specialist/context-dependent title marker: behaviour,REVIEW,NO - review first,
41,Business Support Assistant,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
42,Business Support Assistant - Remote,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
43,Café Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
44,Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
45,Care Assistant - Bank - Care Home,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
46,Care Assistant - Care Home,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
47,Care Assistant - Complex Care,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: complex care,STABLE,YES,
48,Care Assistant - Contracted Hours,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
49,Care Assistant - Cromer,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
50,Care Assistant - Days,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
51,Care Assistant - Elderly Care,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
52,Care Assistant - Lewes,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
53,Care Assistant - North Walsham,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
54,Care Assistant - Paid Travel Time,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
55,Care Assistant - Training provided,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
56,Care Assistant - Waking Nights,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, nights",STABLE,YES,
57,Care Assistant - Weekends,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
58,Care Assistant (Block Pay),HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
59,Care Assistant (Community Care),HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
60,Care Assistant (Weekends only),HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
61,Care Assistant Dayshift - Arlington,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
62,Care Assistant Dayshift Our Ladys,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
63,Care Assistant for University Student Studying Aerospace Engineering,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
64,Care Assistant Nights,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
65,Care Assistant Nightshift Our Ladys,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: nights, nightshift",STABLE,YES,
66,Care Assistant to a Creative Writing & English Literature Graduate,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
67,Care Assistant Waking Night,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: waking night,STABLE,YES,
68,Care Assistant- Scottish Islands,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
69,Care Assistant/ Care Shift Manager,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
70,Care assistant/ Support worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
71,Care Assistants,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
72,Care Manager / Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
73,Care Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
74,Care Support Worker - Angus - Swindon,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
75,"Care Support Worker - Balby, Doncaster",HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
76,"Care Support Worker - Bentley, Doncaster",HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
77,Care Support Worker - Clacton,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
78,Care Support Worker - Clay Cross,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
79,Care Support Worker - Plymouth,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
80,Care Support Worker - Southampton,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
81,Care Support Worker - Sutton-in-Ashfield,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
82,"Care Support Worker - Woodlands, Doncaster",HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
83,Care Worker,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
84,Care Worker - Full & Part-Time,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
85,Care Worker - Full and Part-Time,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
86,Care Worker - Full and Part-Time available,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
87,Care Worker - Part-Time,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
88,Care Worker - Part-Time - Test Only,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
89,Care Worker - Relief,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
90,Care Worker (Part-Time) Swaffham & Dereham,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
91,Carer Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
92,Casual Family Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
93,Casual Housing Support Worker - Whitley Bay,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
94,Casual Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: casual,STABLE,YES,
95,Challenging Behaviour Support Assistant,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
96,Child & Youth Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
97,Child Healthcare Worker looking to move into Primary School,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
98,Child Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
99,Child Support Worker (school-based),HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
100,Childlren and Young People Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
101,Children and Young Adults Support Worker 0060,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
102,Children and Young People Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
103,Children and Young People Support Worker - Family Supervision,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
104,Children and Young People Support Worker - Mental Health,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
105,Children and Young Peoples Learning Support Worker (Autism),ELASTIC_FIT,2,learning support worker ambiguous unless learning disability is explicit,REVIEW,NO - review first,
106,Children and Young Person's Support Worker (North East),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
107,Children and Young Persons Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
108,Children Residential Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
109,Children Residential Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
110,Children Residential Support Workers,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
111,Children Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
112,Children's Health Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
113,Children's Home Senior Residential Care Worker- Melksham,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
114,Children's Residential Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
115,Children's Residential Support Workers with CPI training,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
116,Children's Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
117,Children's Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
118,Childrens Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
119,Childrens Emotional Wellbeing Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
120,Childrens Residential Care Worker,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
121,Childrens Residential Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
122,Childrens Residential Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
123,Childrens Residential Support Worker (Bank),ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: bank, residential",STABLE,YES,
124,Childrens Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
125,Childrens Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
126,Communication Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
127,Community Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
128,Community health care assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
129,Community Healthcare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
130,Community Outreach Support Worker - Mental Health,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
131,Community Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
132,Community Support Worker - Dumfries & Galloway,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
133,Community Support Worker (Driver),HARD_PASS,3,driver/transport requirement,STABLE,YES,
134,Community Support Worker Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
135,Comples Needs Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
136,Comples Needs Support Worker - Weekend,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
137,Complex Care Assistant,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: complex care,STABLE,YES,
138,Complex Care Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: complex care,STABLE,YES,
139,Complex Care Support Worker - Mansfield - Days,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: complex care,STABLE,YES,
140,Complex Needs Support Worker - Thatcham,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
141,Crisis Recovery Worker,ELASTIC_FIT,2,recovery/outreach/key/project/enabling worker without support-worker wording,REVIEW,NO - review first,
142,Crisis Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
143,Day Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
144,Day Care Assistant - Home Support Team,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
145,Day Service Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
146,Day Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
147,Discharge Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
148,Domestic Abuse and Refuge Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
149,Domestic Abuse Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
150,Domestic Abuse Support Worker (Advocate),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
151,Domestic Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
152,Domiciliary Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
153,Domiciliary Care Worker,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
154,Domiciliary Care Worker - Driving Licence - Mileage Paid,HARD_PASS,3,driver/transport requirement,STABLE,YES,
155,Domiciliary Care Worker - Mileage Paid,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
156,Driver / Day Care Assistant,HARD_PASS,3,driver/transport requirement,STABLE,YES,
157,DVA Support Worker - For Male Survivors of Domestic Abuse,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
158,Education Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
159,Educational Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
160,Emergency Support Worker (Darlington),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
161,Emergency Support Worker (Wigan),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
162,Emergency Support Worker (Wrexham),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
163,Emotional Support Worker - Oxford,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
164,Experienced Agency Healthcare Assistant UK Healthcare,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: agency,STABLE,YES,
165,Experienced Agency Support Workers UK Healthcare,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: agency,STABLE,YES,
166,Experienced Childrens Residential Support Workers Agency Work,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: agency, residential",STABLE,YES,
167,Extra Care Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
168,Family Assessment Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
169,Family Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
170,"Family Support Worker, Trafford Council",ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
171,"Family Support Worker, Wakefield Council",ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
172,Female Bank Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
173,Female Bengali-Speaking Relief Extra Care Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
174,Female Care Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
175,"Female Care Support Worker - Intake, Doncaster",HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
176,Female Extra Care Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
177,Female Healthcare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
178,Female Outreach Worker - Driver Required,HARD_PASS,3,driver/transport requirement,STABLE,YES,
179,Female Paediatric Healthcare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
180,Female Regional Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
181,Female Relief Extra Care Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
182,Female Relief Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
183,Female Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
184,Female Support Practitioner (UK Driving Licence),HARD_PASS,3,driver/transport requirement,STABLE,YES,
185,Female Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
186,Female Support Worker - Berwick upon Tweed,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
187,Female Support Worker - Complex Needs,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
188,Female Support Worker - Haverfordwest,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
189,Female Support Worker - Leyland,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
190,Female Support Worker - Llanidloes,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
191,Female Support Worker - Maternity Cover,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
192,Female Support Worker - Merthyr Tydfil,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
193,Female Support Worker - Swansea,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
194,Female Support Worker (Driver's needed),HARD_PASS,3,driver/transport requirement,STABLE,YES,
195,Female Support Worker (Maternity Cover),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
196,Female Support Worker / Manual Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
197,Female Support Worker 2:1 Wisbech - Kinderley,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
198,Female Support Worker Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
199,Female Support Worker Driver Specific,HARD_PASS,3,driver/transport requirement,STABLE,YES,
200,Female Support Worker Llanidloes,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
201,Female Support Worker Maternity Cover,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
202,Female Support Worker Merthyr Tydfil,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
203,Female Support Worker Must Be Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
204,Female Wake Night Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
205,Female Wake Night Support Workers - Plymouth,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
206,Female Waking Night Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, night support",STABLE,YES,
207,Floating Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
208,Foster Carer - Autism Support Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
209,Foster Carer - Education Outreach Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
210,Foster Carer - Family Support Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
211,Foster Carer - Reablement Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
212,Foster Carer - Residential Childcare Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
213,Foster Carer - Short Breaks Support Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
214,Foster Carer Support Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
215,Full-time Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
216,GP Healthcare Assistant (HCA),HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
217,Health & Social Care Workers - SEND School,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
218,Health Care Assistant /Minibus Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
219,Health Support Worker - Deaf Services,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
220,Healthcare assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
221,Healthcare Assistant - Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
222,Healthcare Assistant Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
223,Healthcare Assistant Nights,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
224,Healthcare Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
225,Hearing Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
226,"Hearing Care Assistant, Cumbria",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
227,Home Care Support Worker - £17 p/h,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
228,Home Care Worker,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
229,Homecare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
230,Homecare Assistant - SEN Experience with children,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
231,Homecare Assistant Drivers Only,HARD_PASS,3,driver/transport requirement,STABLE,YES,
232,"Homecare Assistant, Female, Driver. No sponsorships",HARD_PASS,3,driver/transport requirement,STABLE,YES,
233,Homeless Service Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
234,Homeless Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
235,Homelessness Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
236,Hourly Care Assistant for Aerospace Engineering,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
237,Hourly Personal Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
238,Housing Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
239,Housing Support Worker - ADHOC Shifts - Whitley Bay,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
240,Housing Support Worker - Bishop Auckland - ADHOC Shifts,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
241,Housing Support Worker - Days - Durham - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
242,Housing Support Worker - Days - Gateshead,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
243,Housing Support Worker - Days - Tow Law - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
244,Housing Support Worker - Days - Wallsend - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
245,Housing Support Worker - Durham - Days,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
246,Housing Support Worker - Durham - Lates and Evenings,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
247,Housing Support Worker - Durham - Nights,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
248,Housing Support Worker - Lates - Tow Law - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
249,Housing Support Worker - Lates and Evenings - Durham - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
250,Housing Support Worker - Nights - Gateshead,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
251,Housing Support Worker - Sunderland - Days,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
252,Housing Support Worker - Sunderland - Wk Ends,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
